actorId,actorName,movieCount,NormalizedMovieRank,PeakSearchHits(GoogleHits/Month),NormalizedRating
555,Ashutosh Rana,14,1.838510036,90700,2.179219961
556,Ravi Kishan,9,1.543480039,195000,2.164419889
557,Nafisa Ali,4,2.956520081,0,2.115080118
558,Arunoday Singh,4,2.956520081,0,2.115080118
559,Omkar Das Manikpuri,4,2.956520081,0,2.115080118
560,Himanshu Malik,4,2.956520081,0,2.115080118
561,Mimoh Chakraborty,4,2.956520081,0,2.115080118
562,Nushrat Bharucha,5,2.956520081,0,2.115080118
563,Sarika,4,2.956520081,0,2.115080118
564,Hema Malini,5,2.956520081,0,2.115080118
565,Krishna Bhatt,4,2.956520081,0,2.115080118
566,Dino Morea,14,1.419250011,198000,2.098040104
567,Tanushree Dutta,7,1.419250011,193000,2.090679884
568,Zakir Hussain,10,1.097830057,312000,2.082459927
569,Asif Basra,7,1.838510036,20300,2.075710058
570,Sachin Khedekar,11,1.800400019,34000,2.074130058
571,Celina Jaitly,8,1.611410022,94400,2.055229902
572,Raima Sen,6,1,321000,2.039940119
573,Gul Panag,8,1.122280002,269000,2.033169985
574,Rakesh Bedi,8,1.611410022,76400,2.02876997
575,Rati Agnihotri,19,1.617849946,61200,2.010090113
576,Ali Fazal,4,2.711960077,0,1.975690007
577,Aarti Chhabria,5,1.391299963,116000,1.961539984
578,Satish Kaushik,9,1.434780002,98800,1.961030006
579,Seema Biswas,11,1.533599973,56100,1.954570055
580,Sanjay Suri,13,1.300999999,131000,1.932129979
581,Arun Bakshi,10,1.48913002,53400,1.925259948
582,Arya Babbar,6,1.326089978,107000,1.911139965
583,Namrata Shirodkar,6,1.326089978,95400,1.894090056
584,Dipannita Sharma,5,2.565220118,0,1.892060041
585,Manu Rishi Chadha,5,2.565220118,0,1.892060041
586,Sharad S. Kapoor,7,1.279500008,95600,1.867830038
587,Farida Jalal,12,1.326089978,76900,1.866889954
588,Mugdha Godse,4,2.46739006,0,1.836310029
589,Riya Sen,5,2.369570017,0,1.780550003
590,Bhoomika Chawla,5,2.369570017,0,1.780550003
591,Tulip Joshi,5,2.369570017,0,1.780550003
592,Vijay Raaz,11,1.177870035,71000,1.77373004
593,Hrishitaa Bhatt,9,1.217389941,46800,1.76067996
594,Dinesh Hingoo,7,1.279500008,17000,1.752269983
595,Sadashiv Amrapurkar,11,1.088930011,88700,1.749070048
596,Mohnish Bahl,10,1.195649981,20600,1.709769964
597,Farooq Shaikh,7,1,94000,1.706179976
598,Vikram Gokhale,7,1.139750004,31900,1.694519997
599,Govind Namdeo,6,1.163040042,17900,1.687209964
600,Kurush Deboo,6,1.163040042,8340,1.673159957
601,Sahil Khan,5,2.173909903,0,1.669049978
602,Yash Tonk,5,2.173909903,0,1.669049978
603,Ishrat Ali,5,1,68100,1.668099999
604,Milind Gunaji,10,1,24300,1.603700042
605,Sudesh Berry,6,1,16100,1.591650009
606,Rajit Kapoor,6,1,15900,1.591349959
607,Nassar Abdulla,6,1,7290,1.578690052
608,Snehal Dabi,7,1,1330,1.569929957
609,Sandali Sinha,4,1.97826004,0,1.557540059
610,Kader Khan,5,1.97826004,0,1.557540059
611,Rajeev Khandelwal,4,1.97826004,0,1.557540059
612,Anupama Verma,4,1.97826004,0,1.557540059
613,Anang Desai,4,1.97826004,0,1.557540059
614,Himesh Reshammiya,5,1.97826004,0,1.557540059
615,Bharati Achrekar,4,1.97826004,0,1.557540059
616,Ashish Vidyarthi,4,1.97826004,0,1.557540059
617,Purab Kohli,5,1.97826004,0,1.557540059
618,Ila Arun,5,1.782610059,0,1.446030021
619,Ram Kapoor,5,1.782610059,0,1.446030021
620,Manoj Joshi,5,1.782610059,0,1.446030021
621,Preeti Jhangiani,5,1.782610059,0,1.446030021
622,Jacky Bhagnani,5,1.782610059,0,1.446030021
623,Anuj Sawhney,4,1.733700037,0,1.418149948
624,Neha Sharma,5,1.586959958,0,1.334519982
625,Neena Gupta,4,1.48913002,0,1.27876997
626,Gajendra Chouhan,4,1.48913002,0,1.27876997
627,Perizaad Zorabian,4,1.48913002,0,1.27876997
628,Aryan Vaid,4,1.48913002,0,1.27876997
629,Prateik,4,1.48913002,0,1.27876997
630,Sayaji Shinde,4,1.48913002,0,1.27876997
631,Anita Hassandani,4,1.48913002,0,1.27876997
632,Pooja Batra,4,1.48913002,0,1.27876997
